"plaintext_size","cipher_mode","total_time","key_size","enc/dec
"
"97.00 mb","AES/ECB/PKCS5PADDING","69262000","128","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","2145625","128","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","2035416","128","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","2169708","128","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1591042","128","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1806791","128","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1465250","128","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1392709","128","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1246250","128","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1207292","128","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","66420584","128","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","2976208","128","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","2939167","128","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","2188292","128","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1736542","128","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1423625","128","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1271541","128","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1180917","128","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1169500","128","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1156250","128","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","69400792","192","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","2308416","192","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1967791","192","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1989291","192","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1565042","192","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","2480209","192","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1519792","192","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1187000","192","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1235750","192","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1056792","192","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","66871042","192","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","3075667","192","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","2350041","192","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1996500","192","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1916250","192","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1465667","192","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1498917","192","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1200667","192","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1183417","192","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1228958","192","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","69042875","256","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","2152750","256","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1994208","256","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1629417","256","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1676959","256","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1831667","256","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1458333","256","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1247209","256","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1250042","256","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","1082667","256","enc"
"97.00 mb","AES/ECB/PKCS5PADDING","66928125","256","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","2885667","256","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","2284500","256","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","2453416","256","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1714500","256","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1461958","256","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1293042","256","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1227875","256","dec"
"97.00 mb","AES/ECB/PKCS5PADDING","1173458","256","dec"
